med_mass_1 med_mass_2 med_lum_dist log_D_AB
5.576286190829610234e+01 2.532984675537039365e+01 1.259464725536977858e+04 1.093241575553776102e+00
2.382934885660026509e+02 1.857916539115176136e+02 6.112245570218041394e+04 3.281045719491679336e+00
4.961635165703431198e+02 4.030214737327460739e+02 8.403753703091107309e+04 4.719295564130220555e+00
8.719953948817221772e+02 6.510322291294453407e+02 1.770829427306998405e+05 1.034582591281649755e+01
5.288870019592070548e+02 3.517602850786453814e+02 1.309735238499286061e+05 5.112079255282214518e+00
1.446376742650687106e+02 1.199761241147398323e+02 2.363367301236228377e+04 2.049438234762622102e+00
6.372366590493401617e+01 3.669628621904927712e+01 1.259771069922821516e+04 9.742854977671626671e-01
3.950360680287658965e+02 3.007805824845249276e+02 8.689234776186774252e+04 4.326099812739105488e+00
5.904891923378423826e+02 4.102210028054762461e+02 6.919557105523876089e+04 5.192883228571197662e+00
4.199485890989250265e+02 1.335844122160281415e+02 6.082315806389501813e+04 4.330162696512253717e+00
4.735024939649888438e+02 3.537517120649554840e+02 6.290065325882822799e+04 4.499563578700765731e+00
5.388645743735623910e+02 4.540568571454415405e+02 9.386212395990127698e+04 5.280889485791309568e+00
7.289959862506121908e+02 5.120720532406062375e+02 1.024409588273296540e+05 6.599140214969686724e+00
2.826678168427160927e+02 2.348751687370542527e+02 5.339055051108066255e+04 3.932270152947371145e+00
2.604672258582385780e+02 1.520841752510559104e+02 6.960564215721210348e+04 2.938728056117327014e+00
3.479024474369550148e+02 3.023995125594639148e+02 7.567942377503777971e+04 4.482475708944111403e+00
1.495328922465549795e+02 1.255537696055780259e+02 1.481030921661227330e+04 2.715257655710221485e+00
1.211268324000649557e+02 7.752585316830371198e+01 2.127311246858352388e+04 2.058889680078205942e+00
6.451821055681051575e+01 3.450246168164929372e+01 5.965507784952762449e+03 2.152516445220214791e+00
3.144845141650242795e+02 2.498916389236812279e+02 9.804888326613517711e+04 4.093358545875680932e+00
2.241485749766813456e+02 2.064716932090575483e+02 4.117175666292757523e+04 2.851687673613024998e+00
1.253935884994453005e+02 1.040727724706107722e+02 3.411985804837774776e+04 1.249552349224781977e+00
2.136345389456645876e+02 1.201515210565438281e+02 3.026224049832936362e+04 3.646643518027929076e+00
1.392771180568782370e+02 1.241479087427437094e+02 2.363510340417947737e+04 1.915151129425765930e+00
2.671453679771545353e+02 2.355409462514616621e+02 4.783474066314499942e+04 3.879274334913315414e+00
2.432729400156231350e+02 2.186326686776963015e+02 4.893159990274808661e+04 3.703222246293432107e+00
1.215032235010165778e+02 7.084575003774274649e+01 2.209706985530776001e+04 2.045188350201541994e+00
1.122597954909731754e+02 9.627210748966876963e+01 2.228332973754759951e+04 1.537290791945181923e+00
2.480928540650151604e+02 1.471506347537748809e+02 4.019891420674996334e+04 3.282843651934641116e+00
5.951702455042695306e+01 4.290673766572916037e+01 7.349871052791698276e+03 1.085432883203008458e+00
6.875747778143400524e+01 3.073234224562611416e+01 1.201397570555314996e+04 2.027064713498969439e+00
5.229299606045685778e+02 4.459448602643213349e+02 3.331487202828767477e+04 4.907209964530341750e+00
2.922065419690467252e+02 1.568974953988585526e+02 6.513154216286675364e+04 3.093009749177436873e+00
1.829058517109840523e+02 1.516068300992511695e+02 6.582494592027123144e+04 2.272261879406190843e+00
2.619088333428828719e+02 1.507466773361895207e+02 3.027337108822153095e+04 3.718189504373576426e+00
1.242177488224862003e+02 6.590562720154402143e+01 2.768990722811265005e+04 2.185728315465286897e+00
1.642857880547101104e+02 1.295539390826284034e+02 4.932421175640455476e+04 2.103451212769968492e+00
1.510360663422949585e+02 1.365409112060006578e+02 1.658371039966783792e+04 2.741038786442096864e+00
1.904814841795987945e+02 1.132531439548683920e+02 7.231323802539157623e+04 2.003664569536638851e+00
1.211546637729796601e+02 3.384033747925586511e+01 2.715789011819410007e+04 2.100537074387982983e+00
2.729277927843006637e+02 1.004758957140198135e+02 6.582995962698302174e+04 2.544091881760820684e+00
6.782867503639017741e+02 5.343926565724343618e+02 1.231903041798275226e+05 6.534736416748646803e+00
2.339990092493029579e+02 1.578938920314863594e+02 5.183802999775269564e+04 3.115893399661413099e+00
1.824002812823625277e+02 1.600100974679127717e+02 2.353096006537348512e+04 2.332350547623050829e+00
4.128040967173931222e+02 2.449229678728596298e+02 5.972811364942962246e+04 4.238872870063300269e+00
9.812396050849312701e+01 7.798676728530026026e+01 1.380187634931122193e+04 1.883801151961058906e+00
1.567266865568411163e+02 7.676047720265574981e+01 5.424902578577796521e+04 1.990776868278775424e+00
3.521650131810461062e+02 2.907302099565984008e+02 5.227154946560620738e+04 4.524905979262666023e+00
