med_mass_1 med_mass_2 med_lum_dist log_D_AB
8.419179270156554651e+00 7.146959624837024627e+00 1.782301868764198787e+02 -6.353499962932232137e+01
7.910962627049212159e+00 6.236774108714709719e+00 1.684983868950069450e+02 -5.963288054727112808e+01
8.600249878628037692e+00 8.268015922729551548e+00 1.642259258667289998e+02 -5.693944185530660462e+01
6.605073652968201259e+00 6.411018209403216872e+00 1.793223878960618265e+02 -6.939927507285482022e+01
1.573649895078373007e+01 1.065065185605838138e+01 4.804144329008414388e+03 -1.216061643350676036e+01
8.513725597866036665e+00 5.961794881483966968e+00 1.572147464671097623e+02 -4.840222913067046306e+01
9.330778347924116645e+00 8.687126163259581091e+00 1.676326292305023458e+02 -4.992799749803180021e+01
1.325039627613374016e+01 1.293553839036251496e+01 1.337541607362377647e+02 -1.759293099601424615e+01
8.357380980677547200e+00 6.010474844616146228e+00 1.953243752456046991e+02 -5.160982691108811338e+01
8.466971079050361837e+00 6.502550074626496368e+00 1.769220213830394925e+02 -5.800749206156528714e+01
8.351810212791068722e+00 5.971908979937293083e+00 2.278717122865220404e+02 -4.050519428163174496e+01
8.494870920423082339e+00 8.350277719067705107e+00 1.923717697822476964e+02 -4.871905052557617921e+01
7.476910217269449710e+00 5.983675724682425923e+00 1.748188876842467607e+02 -7.075435576027246043e+01
8.940564851417759584e+00 8.626578496460055590e+00 5.727521294024563758e+02 -2.736858579717664242e+01
9.493673578229578425e+01 2.709866103865189757e+01 3.563089959642790927e+04 4.588971642047212640e-01
6.533947397134136281e+01 4.403127109049759014e+01 2.808351039629612933e+04 -2.265532711758364570e+00
1.698760329919773326e+01 1.247256842184046377e+01 6.585353583654546128e+03 -1.221977411461532803e+01
3.916022573693307862e+01 3.288308388169826912e+01 8.913534784675033734e+03 -2.759604830245159235e+00
1.594504568618721407e+01 1.208784869787055527e+01 5.560371057849247336e+03 -1.347377592131556590e+01
8.881373272057007995e+00 8.295681754225100235e+00 5.219214555622481839e+02 -2.822405666520655387e+01
9.022405144071132810e+00 8.840621058477115213e+00 6.405606744736097653e+02 -2.696321657386340576e+01
9.437750469441198220e+00 8.714792537138556838e+00 5.303113565994101464e+02 -2.568201329917526721e+01
1.595335587871571370e+01 1.076218959933060404e+01 5.097187637323791932e+03 -1.203314643305648701e+01
