med_mass_1 med_mass_2 med_lum_dist p_PopIII
5.576286190829610234e+01 2.532984675537039365e+01 1.259464725536977858e+04 8.075147094726562447e-01
2.382934885660026509e+02 1.857916539115176136e+02 6.112245570218041394e+04 9.357951660156249574e-01
4.961635165703431198e+02 4.030214737327460739e+02 8.403753703091107309e+04 9.713879394531249600e-01
8.719953948817221772e+02 6.510322291294453407e+02 1.770829427306998405e+05 9.987863769531249991e-01
5.288870019592070548e+02 3.517602850786453814e+02 1.309735238499286061e+05 9.149243164062500488e-01
1.446376742650687106e+02 1.199761241147398323e+02 2.363367301236228377e+04 9.056765747070312234e-01
6.372366590493401617e+01 3.669628621904927712e+01 1.259771069922821516e+04 8.822562255859375258e-01
3.950360680287658965e+02 3.007805824845249276e+02 8.689234776186774252e+04 9.289780273437500124e-01
5.904891923378423826e+02 4.102210028054762461e+02 6.919557105523876089e+04 9.832559814453124547e-01
4.199485890989250265e+02 1.335844122160281415e+02 6.082315806389501813e+04 9.501755371093749680e-01
4.735024939649888438e+02 3.537517120649554840e+02 6.290065325882822799e+04 9.736038818359374902e-01
5.388645743735623910e+02 4.540568571454415405e+02 9.386212395990127698e+04 9.835073242187499787e-01
7.289959862506121908e+02 5.120720532406062375e+02 1.024409588273296540e+05 9.953488769531250169e-01
2.826678168427160927e+02 2.348751687370542527e+02 5.339055051108066255e+04 9.530626831054687109e-01
2.604672258582385780e+02 1.520841752510559104e+02 6.960564215721210348e+04 8.350066528320312376e-01
3.479024474369550148e+02 3.023995125594639148e+02 7.567942377503777971e+04 9.018226928710937340e-01
1.495328922465549795e+02 1.255537696055780259e+02 1.481030921661227330e+04 9.828654785156250018e-01
1.211268324000649557e+02 7.752585316830371198e+01 2.127311246858352388e+04 8.892712402343749822e-01
6.451821055681051575e+01 3.450246168164929372e+01 5.965507784952762449e+03 8.587043457031250382e-01
3.144845141650242795e+02 2.498916389236812279e+02 9.804888326613517711e+04 9.281173095703124654e-01
2.241485749766813456e+02 2.064716932090575483e+02 4.117175666292757523e+04 9.464763183593749574e-01
1.253935884994453005e+02 1.040727724706107722e+02 3.411985804837774776e+04 6.317486572265624822e-01
2.136345389456645876e+02 1.201515210565438281e+02 3.026224049832936362e+04 9.762394409179687704e-01
1.392771180568782370e+02 1.241479087427437094e+02 2.363510340417947737e+04 8.837215576171875142e-01
2.671453679771545353e+02 2.355409462514616621e+02 4.783474066314499942e+04 9.418218994140624689e-01
2.432729400156231350e+02 2.186326686776963015e+02 4.893159990274808661e+04 9.145989379882812909e-01
1.215032235010165778e+02 7.084575003774274649e+01 2.209706985530776001e+04 9.150673217773437340e-01
1.122597954909731754e+02 9.627210748966876963e+01 2.228332973754759951e+04 7.846654663085937953e-01
2.480928540650151604e+02 1.471506347537748809e+02 4.019891420674996334e+04 9.652510375976562917e-01
5.951702455042695306e+01 4.290673766572916037e+01 7.349871052791698276e+03 8.206400146484374991e-01
6.875747778143400524e+01 3.073234224562611416e+01 1.201397570555314996e+04 9.384167480468750266e-01
5.229299606045685778e+02 4.459448602643213349e+02 3.331487202828767477e+04 9.816853027343750426e-01
2.922065419690467252e+02 1.568974953988585526e+02 6.513154216286675364e+04 9.009335327148437766e-01
1.829058517109840523e+02 1.516068300992511695e+02 6.582494592027123144e+04 6.539447631835937358e-01
2.619088333428828719e+02 1.507466773361895207e+02 3.027337108822153095e+04 9.752093505859374956e-01
1.242177488224862003e+02 6.590562720154402143e+01 2.768990722811265005e+04 9.012023925781249556e-01
1.642857880547101104e+02 1.295539390826284034e+02 4.932421175640455476e+04 8.264461059570312740e-01
1.510360663422949585e+02 1.365409112060006578e+02 1.658371039966783792e+04 9.805652465820312580e-01
1.904814841795987945e+02 1.132531439548683920e+02 7.231323802539157623e+04 5.810493774414062784e-01
1.211546637729796601e+02 3.384033747925586511e+01 2.715789011819410007e+04 8.847857666015624956e-01
2.729277927843006637e+02 1.004758957140198135e+02 6.582995962698302174e+04 6.649976196289062447e-01
6.782867503639017741e+02 5.343926565724343618e+02 1.231903041798275226e+05 9.944592285156249600e-01
2.339990092493029579e+02 1.578938920314863594e+02 5.183802999775269564e+04 9.174243774414062580e-01
1.824002812823625277e+02 1.600100974679127717e+02 2.353096006537348512e+04 9.546990966796875533e-01
4.128040967173931222e+02 2.449229678728596298e+02 5.972811364942962246e+04 9.744359130859374662e-01
9.812396050849312701e+01 7.798676728530026026e+01 1.380187634931122193e+04 9.435642700195312482e-01
1.567266865568411163e+02 7.676047720265574981e+01 5.424902578577796521e+04 8.390120239257812251e-01
3.521650131810461062e+02 2.907302099565984008e+02 5.227154946560620738e+04 9.616894531249999822e-01
3.649882828012615619e+02 3.151158791711745835e+02 7.126991019713543938e+04 9.425319824218749698e-01
2.615008026623090700e+02 2.385659587673023339e+02 4.424643583771379781e+04 9.544202880859374849e-01
2.624162993615879031e+02 2.091923073544243721e+02 6.318791659517260268e+04 9.291481933593750409e-01
1.007490368280849111e+02 8.597281343331519565e+01 1.565389964430214059e+04 8.967415771484374964e-01
8.274741327474607999e+01 2.019194360942955768e+01 1.330531072837713509e+04 9.388750610351562775e-01
2.868556710135742378e+02 2.045229627157785330e+02 5.907322849800588301e+04 9.401389160156250480e-01
2.708913115711316095e+02 2.236683537454658222e+02 5.086498568179826543e+04 9.575625610351562456e-01
