med_mass_1 med_mass_2 med_lum_dist p_PopIII
1.204934990936800716e+02 6.337062601283530228e+01 1.350216115018903656e+04 8.581917724609374742e-01
1.838846778967940168e+02 1.419734299592133766e+02 2.657777567767680011e+04 9.615421142578125524e-01
7.575293426752327264e+01 6.833648754585270524e+01 7.769415383134093645e+03 6.686525878906249831e-01
2.457678999365372192e+02 1.950006845496462802e+02 6.642117288225445373e+04 8.687160644531249920e-01
1.883070387147789120e+02 5.833153200544391126e+01 4.983831638626330823e+04 4.507872619628906508e-01
2.437629147641668510e+02 1.640844264491707918e+02 6.838792395581738674e+04 8.980215454101562189e-01
1.969504508923356525e+02 1.605115730872672941e+02 3.403151254528402205e+04 8.800725708007812731e-01
1.304275739975842612e+02 4.797792458156580864e+01 1.828114791159721790e+04 8.962952270507812402e-01
3.931052465527732238e+02 3.538603146629884577e+02 7.295264791934812092e+04 9.803209838867187331e-01
1.897833734102323717e+02 1.617830625257849988e+02 4.230927235175842361e+04 8.496766357421875471e-01
5.144840254968163151e+01 4.865643418573715451e+01 7.976347399796274658e+03 7.540319824218749689e-01
4.508479544085530506e+02 3.578668949777699027e+02 8.274405640640140336e+04 9.738775024414062509e-01
5.158518374002595408e+01 1.966274742424926103e+01 1.359265938529964842e+04 7.314072265625000124e-01
4.333453324281173309e+02 3.482558732811351092e+02 9.090055159731520689e+04 9.545233154296874911e-01
2.984289568215683630e+02 2.566834342380269618e+02 6.881434348495342419e+04 9.214172363281250000e-01
7.156660243508298436e+01 3.038216961311697872e+01 1.436352534395315161e+04 9.451123657226562225e-01
3.405501047994617920e+02 2.964400096973988070e+02 4.091492841361630417e+04 8.812498779296874529e-01
1.591013425162779242e+02 1.214288239752196290e+02 5.297556496653400245e+04 8.063188476562499485e-01
4.691353531654264941e+01 2.668052564345021338e+01 6.077871789216715115e+03 7.822768554687500320e-01
3.902349130021509609e+02 3.347290094550578488e+02 1.070262846681425290e+05 9.097834472656249893e-01
3.154557409351619768e+01 1.148864087645714172e+01 3.771640242170919009e+03 5.351682128906249947e-01
5.560354693087461442e+01 5.235030033744255462e+01 4.357181565607050288e+03 6.789658203124999680e-01
2.046394234155294498e+02 1.245602377096932116e+02 4.668649189659416879e+04 9.700706787109375506e-01
